"","GEOID","numberCrimes","STATEFP","COUNTYFP","TRACTCE","NAME","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","name","state","county","tract","TOTAL","MEDIANHOUSEINCOME","BLACK","UNEMPLOYED","INLABORFORCE","POVERTY"
"80","36067003500",8,"36","067","003500","35","Census Tract 35","G5020","S",1137159,0,"+43.0479841","-076.1200134","Census Tract 35, Onondaga County, New York","36","067","003500",2291,16304,1007,176,989,1272
"81","36067003500",8,"36","067","003500","35","Census Tract 35","G5020","S",1137159,0,"+43.0479841","-076.1200134","Census Tract 35, Onondaga County, New York","36","067","003500",2291,16304,1007,176,989,1272
"82","36067003500",8,"36","067","003500","35","Census Tract 35","G5020","S",1137159,0,"+43.0479841","-076.1200134","Census Tract 35, Onondaga County, New York","36","067","003500",2291,16304,1007,176,989,1272
"83","36067003601",4,"36","067","003601","36.01","Census Tract 36.01","G5020","S",1107237,0,"+43.0509535","-076.1092805","Census Tract 36.01, Onondaga County, New York","36","067","003601",2333,30026,1464,198,1052,888
"84","36067003601",4,"36","067","003601","36.01","Census Tract 36.01","G5020","S",1107237,0,"+43.0509535","-076.1092805","Census Tract 36.01, Onondaga County, New York","36","067","003601",2333,30026,1464,198,1052,888
"85","36067003602",6,"36","067","003602","36.02","Census Tract 36.02","G5020","S",1644462,0,"+43.0537868","-076.0956368","Census Tract 36.02, Onondaga County, New York","36","067","003602",2215,38618,1229,182,1181,383
"86","36067003602",6,"36","067","003602","36.02","Census Tract 36.02","G5020","S",1644462,0,"+43.0537868","-076.0956368","Census Tract 36.02, Onondaga County, New York","36","067","003602",2215,38618,1229,182,1181,383
"87","36067003602",6,"36","067","003602","36.02","Census Tract 36.02","G5020","S",1644462,0,"+43.0537868","-076.0956368","Census Tract 36.02, Onondaga County, New York","36","067","003602",2215,38618,1229,182,1181,383
"88","36067003602",6,"36","067","003602","36.02","Census Tract 36.02","G5020","S",1644462,0,"+43.0537868","-076.0956368","Census Tract 36.02, Onondaga County, New York","36","067","003602",2215,38618,1229,182,1181,383
"89","36067003800",4,"36","067","003800","38","Census Tract 38","G5020","S",772366,0,"+43.0361519","-076.1796494","Census Tract 38, Onondaga County, New York","36","067","003800",2431,26585,811,198,936,953
"90","36067003800",4,"36","067","003800","38","Census Tract 38","G5020","S",772366,0,"+43.0361519","-076.1796494","Census Tract 38, Onondaga County, New York","36","067","003800",2431,26585,811,198,936,953
"91","36067003800",4,"36","067","003800","38","Census Tract 38","G5020","S",772366,0,"+43.0361519","-076.1796494","Census Tract 38, Onondaga County, New York","36","067","003800",2431,26585,811,198,936,953
"92","36067004000",8,"36","067","004000","40","Census Tract 40","G5020","S",501636,0,"+43.0415797","-076.1623869","Census Tract 40, Onondaga County, New York","36","067","004000",1803,28472,946,50,638,581
"93","36067004000",8,"36","067","004000","40","Census Tract 40","G5020","S",501636,0,"+43.0415797","-076.1623869","Census Tract 40, Onondaga County, New York","36","067","004000",1803,28472,946,50,638,581
"94","36067004000",8,"36","067","004000","40","Census Tract 40","G5020","S",501636,0,"+43.0415797","-076.1623869","Census Tract 40, Onondaga County, New York","36","067","004000",1803,28472,946,50,638,581
"95","36067004000",8,"36","067","004000","40","Census Tract 40","G5020","S",501636,0,"+43.0415797","-076.1623869","Census Tract 40, Onondaga County, New York","36","067","004000",1803,28472,946,50,638,581
"96","36067004000",8,"36","067","004000","40","Census Tract 40","G5020","S",501636,0,"+43.0415797","-076.1623869","Census Tract 40, Onondaga County, New York","36","067","004000",1803,28472,946,50,638,581
"97","36067004000",8,"36","067","004000","40","Census Tract 40","G5020","S",501636,0,"+43.0415797","-076.1623869","Census Tract 40, Onondaga County, New York","36","067","004000",1803,28472,946,50,638,581
"98","36067004000",8,"36","067","004000","40","Census Tract 40","G5020","S",501636,0,"+43.0415797","-076.1623869","Census Tract 40, Onondaga County, New York","36","067","004000",1803,28472,946,50,638,581
"99","36067004000",8,"36","067","004000","40","Census Tract 40","G5020","S",501636,0,"+43.0415797","-076.1623869","Census Tract 40, Onondaga County, New York","36","067","004000",1803,28472,946,50,638,581
"100","36067004000",8,"36","067","004000","40","Census Tract 40","G5020","S",501636,0,"+43.0415797","-076.1623869","Census Tract 40, Onondaga County, New York","36","067","004000",1803,28472,946,50,638,581
"101","36067004000",8,"36","067","004000","40","Census Tract 40","G5020","S",501636,0,"+43.0415797","-076.1623869","Census Tract 40, Onondaga County, New York","36","067","004000",1803,28472,946,50,638,581
"102","36067004600",6,"36","067","004600","46","Census Tract 46","G5020","S",3864671,0,"+43.0400611","-076.0977558","Census Tract 46, Onondaga County, New York","36","067","004600",5129,71797,1130,152,2515,602
"103","36067004600",6,"36","067","004600","46","Census Tract 46","G5020","S",3864671,0,"+43.0400611","-076.0977558","Census Tract 46, Onondaga County, New York","36","067","004600",5129,71797,1130,152,2515,602
